Technique,QuestionID,AnswerID,ParagraphIndex,SentenceIndex,SentenceText,Original SentenceText
ifsentence,29775797,45154118,0,0,I have created a thin wrapper around fetch ( ) with many improvements if you are using a purely json REST API :,
condinsight,29775797,45345813,1,0,"However , if you try with jQuery 's CW and it 's working , the reason is probably because of jQuery using CW instead of CW .",
ifsentence,29775797,49240442,7,0,So bottom line if your formdata is not being attached to the Request then it could potentially be your headers .,
ifsentence,29775797,49240442,7,1,Try bringing your headers to a minimum and then try adding them one by one to see if your problem is rsolved .,
condinsight,29775797,49517293,0,0,"I think that , we do n't need parse the JSON object into a string , if the remote server accepts json into they request , just run :",
ifsentence,28646332,28647095,6,1,"Do n't quote me , but if you are getting JSON , and you have n't specified the CW , then maybe it is the default .",
condinsight,28646332,28647129,2,1,"For example , if the request says it accepts XML , but not JSON , and there is a message converter installed that can transform the list to XML , then XML will be returned .",
condinsight,28646332,38258959,2,1,Spring MVC will setup converters for XML ( using JAXB ) and JSON if Jackson libraries are on he classpath .,
condinsight,28957285,45994247,0,0,"There are already few answers here , but I would like to add that if you are using CW to Obfuscate your code & do n't use CW in your model class , then your GSON wo n't work .",
condinsight,28957285,45994247,2,0,"Of Course you can tell proguard to not obfuscate your model , but if you would like to have model obfuscated , then you must specify CW",
WordPatternBaseline,28957285,45994247,2,0,"of Course you can tell proguard to not obfuscate you model , but if you would like to have model obfuscate , then you must specify CW",
WordPatternBaseline,28802544,28803634,2,0,"note : one problem I face with this be that the CW version pull in by another dependency , use version 2.3.2 , which cancel out the 2.4 require by the CW .",
ifsentence,28802544,51679621,0,0,"Since CW turns it into '' -LSB- year , month , day -RSB- '' ( a json array ) rather than `` year-month-day '' ( a json string ) by default , and since I do n't want to require any special CW setup ( you can make CW generate strings if you disable CW but that requires additional setup to your CW ) , I use the following :",
